title,datetime,date_display,location,url
ביחד בתקווה - קונצרט חגיגי בהשתתפות התזמורת,2025-12-03T19:30:00+02:00,"יום רביעי, 3 דצמבר, 19:30","תיאטרון ירושלים, אולם הנרי קראון",https://www.jamd.ac.il/node/8301
התכנית לתואר שני במחול - מופע סיום התואר,2025-12-03T20:00:00+02:00,"יום רביעי, 3 דצמבר, 20:00",אולם אפיק,https://www.jamd.ac.il/node/8298
כיתת אמן בפסנתר עם פרופ’ מננה גוטסירידזה (,2025-12-07T18:30:00+02:00,"יום א', 7 דצמבר, 18:30",אולם וודונוס,https://www.jamd.ac.il/node/8310
ציטוט עצמי - פתיחת סדרת המופעים הרב-תחומיים,2025-12-10T20:00:00+02:00,"יום רביעי, 10 דצמבר, 20:00","אולם רבקה קראון, תיאטרון ירושלים",https://www.jamd.ac.il/node/8304
פוקוס על קונטקט,2025-12-15T16:15:00+02:00,"יום שני, 15 דצמבר, 16:15",אולם המחול החדש,https://www.jamd.ac.il/node/8307
כיתת אמן בצ'לו עם פרופ׳ אמיר אלדן,2025-12-15T17:00:00+02:00,"יום שני, 15 דצמבר, 17:00",אולם הרסיטלים,https://www.jamd.ac.il/node/8312
פסטיבל חליליות TARF,2025-12-16T09:30:00+02:00,"ג, 16 דצמבר, 9:30",,https://www.jamd.ac.il/node/8315
ערב המחלקה לביצוע ג'אז - כיתת אמן עם שי זלמן,2025-12-16T18:00:00+02:00,"ג, 16 דצמבר, 18:00",אולם הג׳אז,https://www.jamd.ac.il/node/8320
יום עיון מוסיקה למדיה,2025-12-23T13:00:00+02:00,"ג, 23 דצמבר,13:00עד20:00",אולם הרסיטלים,https://www.jamd.ac.il/node/8308
מופע כלי נגינה אינטראקטיבים,2025-12-24T20:00:00+02:00,"יום רביעי, 24 דצמבר, 20:00",חדר ג׳אז באגף החדש,https://www.jamd.ac.il/node/8294
כיתת אמן בצ'מבלו עם צבי מניקר,2025-12-25T11:00:00+02:00,"יום חמישי, 25 דצמבר, 11:00",אולם הרסיטלים,https://www.jamd.ac.il/node/8317
חזרה גנרלית פתוחה לקהל לקראת קונצרט מחווה למלחין,2026-01-07T20:00:00+02:00,"יום רביעי, 7 ינואר, 20:00","אולם הרסיטלים, בניין האקדמיה",https://www.jamd.ac.il/node/8322
תחרות קונצ'רטו לשירה סולו עם התזמורת,2026-01-13T19:30:00+02:00,"ג, 13 ינואר, 19:30","אולם הרסיטלים ע""ש מרים וודונוס",https://www.jamd.ac.il/node/8318
ערב המחלקה לביצוע ג'אז - כיתת אמן עם הילה,2026-01-27T18:00:00+02:00,"ג, 27 ינואר, 18:00",אולם הג׳אז,https://www.jamd.ac.il/node/8321
"תחרויות ארציות לגיטרה קלאסית ע""ש אריאן",2026-03-13T09:30:00+02:00,"יום שישי, 13 מרץ, 9:30",אולם 221,https://www.jamd.ac.il/node/8323
